Date,P/L,Amt,,
12-07-2017,-6600,911880.9142,,
13-07-2017,11148.73,923029.6442,,
14-07-2017,-3055.52,919974.1242,,
17-07-2017,6878.885,926853.0092,,
18-07-2017,3847.074,930700.0832,,
19-07-2017,-8800,921900.0832,,
20-07-2017,-1677.34,920222.7432,,
21-07-2017,11449.2,931671.9432,,
24-07-2017,3525.36,935197.3032,,
25-07-2017,45196,980393.3032,,
26-07-2017,-566.624,979826.6792,,
27-07-2017,10385.08,990211.7592,,
28-07-2017,4025.873,994237.6322,,
31-07-2017,3432.459,997670.0912,,
01-08-2017,13799.04,1011469.131,,
02-08-2017,2637.013,1014106.144,,
03-08-2017,-2200,1011906.144,,
04-08-2017,-4779.29,1007126.854,,
07-08-2017,-2483.72,1004643.134,,
08-08-2017,32915.41,1037558.544,,
09-08-2017,-1268.43,1036290.114,,
10-08-2017,18823.18,1055113.294,,
14-08-2017,-6600,1048513.294,,
16-08-2017,-837.278,1047676.016,,
17-08-2017,24330.48,1072006.496,,
18-08-2017,4394.049,1076400.545,,
21-08-2017,-8800,1067600.545,,
22-08-2017,24946.45,1092546.995,,
23-08-2017,-6600,1085946.995,,
24-08-2017,339.1878,1086286.183,,
28-08-2017,381.4182,1086667.601,,
29-08-2017,837.4566,1087505.058,,
30-08-2017,-1228.12,1086276.938,,
31-08-2017,11245.48,1097522.418,,
01-09-2017,886.9865,1098409.404,,
04-09-2017,10517.49,1108926.894,,
05-09-2017,3851.817,1112778.711,,
06-09-2017,3893.283,1116671.994,,
07-09-2017,3665.249,1120337.243,,
08-09-2017,26146.48,1146483.723,,
11-09-2017,5385.396,1151869.119,,
12-09-2017,-1240.74,1150628.379,,
13-09-2017,8260.954,1158889.333,,
14-09-2017,17505.06,1176394.393,,
15-09-2017,-939.507,1175454.886,,
18-09-2017,2425.604,1177880.49,,
19-09-2017,-8800,1169080.49,,
20-09-2017,9884.949,1178965.439,,
21-09-2017,-2662.72,1176302.719,,
22-09-2017,9410.892,1185713.611,,
25-09-2017,-2200,1183513.611,,
26-09-2017,-1445.4,1182068.211,,
27-09-2017,21004.73,1203072.941,,
28-09-2017,-6600,1196472.941,,
29-09-2017,-8800,1187672.941,,
03-10-2017,4736.486,1192409.427,,
04-10-2017,12044.85,1204454.277,,
05-10-2017,-6600,1197854.277,,
06-10-2017,-4314.49,1193539.787,,
09-10-2017,2403.286,1195943.073,,
10-10-2017,5248.467,1201191.54,,
11-10-2017,14765.84,1215957.38,,
12-10-2017,-6862.22,1209095.16,,
13-10-2017,452.1118,1209547.272,,
16-10-2017,7552.351,1217099.623,,
17-10-2017,-419.546,1216680.077,,
18-10-2017,-2200,1214480.077,,
23-10-2017,6493.795,1220973.872,,
24-10-2017,3193.758,1224167.63,,
25-10-2017,-8800,1215367.63,,
26-10-2017,9992.327,1225359.957,,
27-10-2017,9964.952,1235324.909,,
30-10-2017,-1099.6,1234225.309,,
31-10-2017,-2200,1232025.309,,
01-11-2017,-3012.15,1229013.159,,
02-11-2017,-48.474,1228964.685,,
03-11-2017,2529.711,1231494.396,,
06-11-2017,-1623.16,1229871.236,,
07-11-2017,28036.4,1257907.636,,
08-11-2017,18086.28,1275993.916,,
09-11-2017,-6600,1269393.916,,
10-11-2017,4455.282,1273849.198,,
13-11-2017,22616.02,1296465.218,,
14-11-2017,5946.556,1302411.774,,
15-11-2017,4028.455,1306440.229,,
16-11-2017,-3744.72,1302695.509,,
17-11-2017,10916.01,1313611.519,,
20-11-2017,-900.216,1312711.303,,
21-11-2017,21135.58,1333846.883,,
22-11-2017,10729.29,1344576.173,,
23-11-2017,8049.721,1352625.894,,
24-11-2017,-1987.62,1350638.274,,
27-11-2017,-2200,1348438.274,,
28-11-2017,3250.197,1351688.471,,
01-12-2017,10142.04,1361830.511,,
04-12-2017,-4400,1357430.511,,
05-12-2017,-2200,1355230.511,,
06-12-2017,4041.876,1359272.387,,
07-12-2017,-4400,1354872.387,,
08-12-2017,6309.011,1361181.398,,
11-12-2017,22805.37,1383986.768,,
12-12-2017,8159.902,1392146.67,,
13-12-2017,-2200,1389946.67,,
14-12-2017,5024.479,1394971.149,,
